filename,split,agreement
01_0001,train,85.80
01_0002,train,93.59
01_0003,train,94.83
01_0004,train,93.54
01_0005,train,92.47
01_0006,train,92.29
01_0007,train,93.07
01_0008,train,94.40
01_0009,train,92.83
01_0010,train,92.51
01_0011,train,91.64
01_0012,train,83.95
01_0013,train,93.87
01_0014,train,86.02
01_0015,train,95.32
01_0016,train,95.14
01_0017,train,96.03
01_0018,train,88.92
01_0019,train,92.99
01_0020,train,88.30
01_0021,train,94.41
01_0022,train,96.12
01_0023,train,89.42
01_0024,train,92.49
01_0025,train,92.77
01_0026,train,95.29
01_0027,train,92.85
01_0028,train,94.61
01_0029,train,92.08
01_0030,train,96.69
01_0031,train,94.79
01_0032,train,96.63
01_0033,train,92.76
01_0034,train,93.94
01_0035,train,96.11
01_0036,train,95.98
01_0037,train,94.62
01_0038,train,89.58
01_0039,train,93.92
01_0040,train,88.14
01_0041,train,95.59
01_0042,train,94.04
01_0043,train,95.60
01_0044,train,97.20
01_0045,train,94.67
01_0046,train,94.95
01_0047,train,95.16
01_0048,train,92.16
01_0049,train,95.37
01_0050,train,94.49
01_0051,train,93.69
01_0052,train,92.70
01_0053,train,96.30
01_0054,train,96.46
01_0055,train,96.34
01_0056,train,95.75
01_0057,train,95.86
01_0058,train,96.42
01_0059,train,96.74
01_0060,train,96.23
01_0061,train,94.91
01_0062,train,96.71
01_0063,train,94.11
01_0064,train,97.11
01_0065,train,97.56
01_0066,train,98.44
01_0067,train,98.11
01_0068,train,97.86
01_0069,train,93.78
01_0070,train,93.69
01_0071,train,94.72
01_0072,train,93.64
01_0073,train,92.99
01_0074,train,97.32
01_0075,train,96.79
01_0076,train,97.34
01_0077,train,97.54
01_0078,train,94.75
01_0079,train,93.57
01_0080,train,89.57
02_0004,train,95.27
02_0005,train,94.33
02_0006,train,93.89
02_0007,train,92.58
02_0008,train,96.54
02_0009,train,95.49
02_0010,train,94.00
02_0011,train,92.67
02_0012,train,94.25
02_0013,train,94.42
02_0014,train,95.22
02_0015,train,96.84
02_0016,train,95.79
02_0017,train,94.53
02_0018,train,94.50
02_0019,train,95.19
02_0020,train,95.22
02_0021,train,97.11
02_0022,train,93.42
02_0023,train,94.14
02_0025,train,94.91
02_0026,train,95.72
02_0027,train,96.29
02_0028,train,96.72
02_0029,train,96.34
02_0030,train,97.05
02_0031,train,96.43
02_0032,train,96.83
02_0033,train,96.95
02_0034,train,96.37
